GEOID,NAME,year,call_volume
18097310104,NA,2015,152.81073192635833
18097310104,NA,2016,337.6436910642119
18097310104,NA,2017,370.6614279299506
18097310104,NA,2018,542.5527615626403
18097310104,NA,2019,553.8352043107319
18097310104,NA,2020,412.14099685675797
18097310104,NA,2021,455.94342164346654
18097310104,NA,2022,702.6638976201167
18097310104,NA,2023,585.6915132465199
18097310105,NA,2015,203.46532270672375
18097310105,NA,2016,432.09404153805997
18097310105,NA,2017,498.06331557869674
18097310105,NA,2018,745.4885133796275
18097310105,NA,2019,742.7825137929655
18097310105,NA,2020,570.7829657699991
18097310105,NA,2021,606.0212112504416
18097310105,NA,2022,971.7434143337815
18097310105,NA,2023,809.3538455951366
18097310106,NA,2015,164.88669854467724
18097310106,NA,2016,358.325757620753
18097310106,NA,2017,393.1082331168817
18097310106,NA,2018,576.9491660152994
18097310106,NA,2019,588.5941592309639
18097310106,NA,2020,436.5297805767609
18097310106,NA,2021,486.11053752099235
18097310106,NA,2022,736.9314796344229
18097310106,NA,2023,615.3939678359764
18097310108,NA,2015,106.39256859651668
18097310108,NA,2016,198.1671878488102
18097310108,NA,2017,196.42097264579283
18097310108,NA,2018,283.3983488114468
18097310108,NA,2019,273.2878889912725
18097310108,NA,2020,221.15640484431216
18097310108,NA,2021,263.4016414880911
18097310108,NA,2022,328.966478070927
18097310108,NA,2023,302.258277956056
18097310110,NA,2015,126.33947013920071
18097310110,NA,2016,233.65244723843736
18097310110,NA,2017,225.206106870229
18097310110,NA,2018,310.0251459362371
18097310110,NA,2019,294.55500673551865
18097310110,NA,2020,231.87427031881455
18097310110,NA,2021,284.4193982936686
18097310110,NA,2022,343.3659631791648
18097310110,NA,2023,308.42478670857656
18097310111,NA,2015,154.494667714414
18097310111,NA,2016,285.7227211495285
18097310111,NA,2017,275.3940839694656
18097310111,NA,2018,379.11534575662324
18097310111,NA,2019,360.19763134261336
18097310111,NA,2020,283.5482712168837
18097310111,NA,2021,347.8032667265379
18097310111,NA,2022,419.8862819937135
18097310111,NA,2023,377.1583408172429
18097310112,NA,2015,274.28349715468187
18097310112,NA,2016,490.5209518882566
18097310112,NA,2017,695.2767718572168
18097310112,NA,2018,1126.4759441282981
18097310112,NA,2019,1029.5199172271082
18097310112,NA,2020,885.3616140713917
18097310112,NA,2021,811.368856699431
18097310112,NA,2022,1500.2669425763063
18097310112,NA,2023,1246.3952405587172
18097310113,NA,2015,56.21668540534261
18097310113,NA,2016,100.54095595450018
18097310113,NA,2017,142.47522836840506
18097310113,NA,2018,230.8291570710755
18097310113,NA,2019,210.9717313568415
18097310113,NA,2020,181.42747938780727
18097310113,NA,2021,166.29219803195497
18097310113,NA,2022,307.40974277852405
18097310113,NA,2023,255.41076131781654
18097310201,NA,2015,126.96317916479568
18097310201,NA,2016,280.53210597215985
18097310201,NA,2017,307.9649753030983
18097310201,NA,2018,450.78132016165245
18097310201,NA,2019,460.1553659631791
